city_id,city,country_id,last_update,,,,,,,
1,A Coruña (La Coruña),87,2006/2/15 11:45,,,,,,,
2,Abha,82,2006/2/15 11:45,,,,,,,
3,Abu Dhabi,101,2006/2/15 11:45,,,,,,,
4,Acuña,60,2006/2/15 11:45,,,,,,,
5,Adana,97,2006/2/15 11:45,,,,,,,
6,Addis Abeba,31,2006/2/15 11:45,,,,,,,
7,Aden,107,2006/2/15 11:45,,,,,,,
8,Adoni,44,2006/2/15 11:45,,,,,,,
9,Ahmadnagar,44,2006/2/15 11:45,,,,,,,
10,Akishima,50,2006/2/15 11:45,,,,,,,
11,Akron,103,2006/2/15 11:45,,,,,,,
12,al-Ayn,101,2006/2/15 11:45,,,,,,,
13,al-Hawiya,82,2006/2/15 11:45,,,,,,,
14,al-Manama,11,2006/2/15 11:45,,,,,,,
15,al-Qadarif,89,2006/2/15 11:45,,,,,,,
16,al-Qatif,82,2006/2/15 11:45,,,,,,,
17,Alessandria,49,2006/2/15 11:45,,,,,,,
18,Allappuzha (Alleppey),44,2006/2/15 11:45,,,,,,,
19,Allende,60,2006/2/15 11:45,,,,,,,
20,Almirante Brown,6,2006/2/15 11:45,,,,,,,
21,Alvorada,15,2006/2/15 11:45,,,,,,,
22,Ambattur,44,2006/2/15 11:45,,,,,,,
23,Amersfoort,67,2006/2/15 11:45,,,,,,,
24,Amroha,44,2006/2/15 11:45,,,,,,,
25,Angra dos Reis,15,2006/2/15 11:45,,,,,,,
26,Anápolis,15,2006/2/15 11:45,,,,,,,
27,Antofagasta,22,2006/2/15 11:45,,,,,,,
28,Aparecida de Goiânia,15,2006/2/15 11:45,,,,,,,
29,Apeldoorn,67,2006/2/15 11:45,,,,,,,
30,Araçatuba,15,2006/2/15 11:45,,,,,,,
31,Arak,46,2006/2/15 11:45,,,,,,,
32,Arecibo,77,2006/2/15 11:45,,,,,,,
33,Arlington,103,2006/2/15 11:45,,,,,,,
34,Ashdod,48,2006/2/15 11:45,,,,,,,
35,Ashgabat,98,2006/2/15 11:45,,,,,,,
36,Ashqelon,48,2006/2/15 11:45,,,,,,,
37,Asunción,73,2006/2/15 11:45,,,,,,,
38,Athenai,39,2006/2/15 11:45,,,,,,,
39,Atšinsk,80,2006/2/15 11:45,,,,,,,
40,Atlixco,60,2006/2/15 11:45,,,,,,,
41,Augusta-Richmond County,103,2006/2/15 11:45,,,,,,,
42,Aurora,103,2006/2/15 11:45,,,,,,,
43,Avellaneda,6,2006/2/15 11:45,,,,,,,
44,Bagé,15,2006/2/15 11:45,,,,,,,
45,Bahía Blanca,6,2006/2/15 11:45,,,,,,,
46,Baicheng,23,2006/2/15 11:45,,,,,,,
47,Baiyin,23,2006/2/15 11:45,,,,,,,
48,Baku,10,2006/2/15 11:45,,,,,,,
49,Balašiha,80,2006/2/15 11:45,,,,,,,
50,Balikesir,97,2006/2/15 11:45,,,,,,,
51,Balurghat,44,2006/2/15 11:45,,,,,,,
52,Bamenda,19,2006/2/15 11:45,,,,,,,
53,Bandar Seri Begawan,16,2006/2/15 11:45,,,,,,,
54,Banjul,37,2006/2/15 11:45,,,,,,,
55,Barcelona,104,2006/2/15 11:45,,,,,,,
56,Basel,91,2006/2/15 11:45,,,,,,,
57,Bat Yam,48,2006/2/15 11:45,,,,,,,
58,Batman,97,2006/2/15 11:45,,,,,,,
59,Batna,2,2006/2/15 11:45,,,,,,,
60,Battambang,18,2006/2/15 11:45,,,,,,,
61,Baybay,75,2006/2/15 11:45,,,,,,,
62,Bayugan,75,2006/2/15 11:45,,,,,,,
63,Béchar,2,2006/2/15 11:45,,,,,,,
64,Beira,63,2006/2/15 11:45,,,,,,,
65,Bellevue,103,2006/2/15 11:45,,,,,,,
66,Belém,15,2006/2/15 11:45,,,,,,,
67,Benguela,4,2006/2/15 11:45,,,,,,,
68,Beni-Mellal,62,2006/2/15 11:45,,,,,,,
69,Benin City,69,2006/2/15 11:45,,,,,,,
70,Bergamo,49,2006/2/15 11:45,,,,,,,
71,Berhampore (Baharampur),44,2006/2/15 11:45,,,,,,,
72,Bern,91,2006/2/15 11:45,,,,,,,
73,Bhavnagar,44,2006/2/15 11:45,,,,,,,
74,Bhilwara,44,2006/2/15 11:45,,,,,,,
75,Bhimavaram,44,2006/2/15 11:45,,,,,,,
76,Bhopal,44,2006/2/15 11:45,,,,,,,
77,Bhusawal,44,2006/2/15 11:45,,,,,,,
78,Bijapur,44,2006/2/15 11:45,,,,,,,
79,Bilbays,29,2006/2/15 11:45,,,,,,,
80,Binzhou,23,2006/2/15 11:45,,,,,,,
81,Birgunj,66,2006/2/15 11:45,,,,,,,
82,Bislig,75,2006/2/15 11:45,,,,,,,
83,Blumenau,15,2006/2/15 11:45,,,,,,,
84,Boa Vista,15,2006/2/15 11:45,,,,,,,
85,Boksburg,85,2006/2/15 11:45,,,,,,,
86,Botosani,78,2006/2/15 11:45,,,,,,,
87,Botshabelo,85,2006/2/15 11:45,,,,,,,
88,Bradford,102,2006/2/15 11:45,,,,,,,
89,Brasília,15,2006/2/15 11:45,,,,,,,
90,Bratislava,84,2006/2/15 11:45,,,,,,,
91,Brescia,49,2006/2/15 11:45,,,,,,,
92,Brest,34,2006/2/15 11:45,,,,,,,
93,Brindisi,49,2006/2/15 11:45,,,,,,,
94,Brockton,103,2006/2/15 11:45,,,,,,,
95,Bucuresti,78,2006/2/15 11:45,,,,,,,
96,Buenaventura,24,2006/2/15 11:45,,,,,,,
97,Bydgoszcz,76,2006/2/15 11:45,,,,,,,
98,Cabuyao,75,2006/2/15 11:45,,,,,,,
99,Callao,74,2006/2/15 11:45,,,,,,,
100,Cam Ranh,105,2006/2/15 11:45,,,,,,,
101,Cape Coral,103,2006/2/15 11:45,,,,,,,
102,Caracas,104,2006/2/15 11:45,,,,,,,
103,Carmen,60,2006/2/15 11:45,,,,,,,
104,Cavite,75,2006/2/15 11:45,,,,,,,
105,Cayenne,35,2006/2/15 11:45,,,,,,,
106,Celaya,60,2006/2/15 11:45,,,,,,,
107,Chandrapur,44,2006/2/15 11:45,,,,,,,
108,Changhwa,92,2006/2/15 11:45,,,,,,,
109,Changzhou,23,2006/2/15 11:45,,,,,,,
110,Chapra,44,2006/2/15 11:45,,,,,,,
111,Charlotte Amalie,106,2006/2/15 11:45,,,,,,,
112,Chatsworth,85,2006/2/15 11:45,,,,,,,
113,Cheju,86,2006/2/15 11:45,,,,,,,
114,Chiayi,92,2006/2/15 11:45,,,,,,,
115,Chisinau,61,2006/2/15 11:45,,,,,,,
116,Chungho,92,2006/2/15 11:45,,,,,,,
117,Cianjur,45,2006/2/15 11:45,,,,,,,
118,Ciomas,45,2006/2/15 11:45,,,,,,,
119,Ciparay,45,2006/2/15 11:45,,,,,,,
120,Citrus Heights,103,2006/2/15 11:45,,,,,,,
121,Città del Vaticano,41,2006/2/15 11:45,,,,,,,
122,Ciudad del Este,73,2006/2/15 11:45,,,,,,,
123,Clarksville,103,2006/2/15 11:45,,,,,,,
124,Coacalco de Berriozábal,60,2006/2/15 11:45,,,,,,,
125,Coatzacoalcos,60,2006/2/15 11:45,,,,,,,
126,Compton,103,2006/2/15 11:45,,,,,,,
127,Coquimbo,22,2006/2/15 11:45,,,,,,,
128,Córdoba,6,2006/2/15 11:45,,,,,,,
129,Cuauhtémoc,60,2006/2/15 11:45,,,,,,,
130,Cuautla,60,2006/2/15 11:45,,,,,,,
131,Cuernavaca,60,2006/2/15 11:45,,,,,,,
132,Cumaná,104,2006/2/15 11:45,,,,,,,
133,Czestochowa,76,2006/2/15 11:45,,,,,,,
134,Dadu,72,2006/2/15 11:45,,,,,,,
135,Dallas,103,2006/2/15 11:45,,,,,,,
136,Datong,23,2006/2/15 11:45,,,,,,,
137,Daugavpils,54,2006/2/15 11:45,,,,,,,
138,Davao,75,2006/2/15 11:45,,,,,,,
139,Daxian,23,2006/2/15 11:45,,,,,,,
140,Dayton,103,2006/2/15 11:45,,,,,,,
141,Deba Habe,69,2006/2/15 11:45,,,,,,,
142,Denizli,97,2006/2/15 11:45,,,,,,,
143,Dhaka,12,2006/2/15 11:45,,,,,,,
144,Dhule (Dhulia),44,2006/2/15 11:45,,,,,,,
145,Dongying,23,2006/2/15 11:45,,,,,,,
146,Donostia-San Sebastián,87,2006/2/15 11:45,,,,,,,
147,Dos Quebradas,24,2006/2/15 11:45,,,,,,,
148,Duisburg,38,2006/2/15 11:45,,,,,,,
149,Dundee,102,2006/2/15 11:45,,,,,,,
150,Dzerzinsk,80,2006/2/15 11:45,,,,,,,
151,Ede,67,2006/2/15 11:45,,,,,,,
152,Effon-Alaiye,69,2006/2/15 11:45,,,,,,,
153,El Alto,14,2006/2/15 11:45,,,,,,,
154,El Fuerte,60,2006/2/15 11:45,,,,,,,
155,El Monte,103,2006/2/15 11:45,,,,,,,
156,Elista,80,2006/2/15 11:45,,,,,,,
157,Emeishan,23,2006/2/15 11:45,,,,,,,
158,Emmen,67,2006/2/15 11:45,,,,,,,
159,Enshi,23,2006/2/15 11:45,,,,,,,
160,Erlangen,38,2006/2/15 11:45,,,,,,,
